date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:40:52	30984/30984	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2007%20Mar%202017%2015:40:50%20GMT	https://www.getthegloss.com/listing/find-an-expert	www.getthegloss.com/listing/find-an-expert.html	(from http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews)
15:40:52	60234/60234	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2007%20Mar%202017%2015:40:51%20GMT	https://www.getthegloss.com/listing/health-and-beauty-advice	www.getthegloss.com/listing/health-and-beauty-advice.html	(from http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews)
15:40:53	74118/74118	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2007%20Mar%202017%2015:40:52%20GMT	https://www.getthegloss.com/listing/horoscopes	www.getthegloss.com/listing/horoscopes.html	(from http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews)
15:40:53	72923/72923	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2007%20Mar%202017%2015:40:52%20GMT	https://www.getthegloss.com/listing/project-bikini-get-bikini-ready-guide	www.getthegloss.com/listing/project-bikini-get-bikini-ready-guide.html	(from http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews)
15:40:54	69508/69508	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2007%20Mar%202017%2015:40:52%20GMT	https://www.getthegloss.com/listing/competitions-offers-and-giveaways	www.getthegloss.com/listing/competitions-offers-and-giveaways.html	(from http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews)
15:41:10	72414/72414	---M-Z	200	added ('OK')	text/html	date:Tue,%2007%20Mar%202017%2015:41:08%20GMT	http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews?offset=100	www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews1206.html	(from http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews)
15:41:11	71990/71990	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2007%20Mar%202017%2015:41:10%20GMT	https://www.getthegloss.com/listing/news	www.getthegloss.com/listing/news.html	(from http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews)
15:41:11	2023/2023	---M-Z	404	error ('Object%20Not%20Found')	text/html	date:Tue,%2007%20Mar%202017%2015:41:10%20GMT	http://www.getthegloss.com/listing/pop-up-cta:_pop-up-cta.phtml	www.getthegloss.com/listing/pop-up-cta__pop-up-cta.2a.delayed	(from http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews)
15:41:12	39141/39141	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2007%20Mar%202017%2015:41:11%20GMT	https://www.getthegloss.com/listing/all-gtg-edits	www.getthegloss.com/listing/all-gtg-edits.html	(from http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews)
15:41:13	72310/72310	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2007%20Mar%202017%2015:41:12%20GMT	https://www.getthegloss.com/listing/anti-ageing-advice-news-and-features	www.getthegloss.com/listing/anti-ageing-advice-news-and-features.html	(from http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews)
